company_id,date,End of month account balance,Monthly average account balance,Monthly minimum balance,Maximum monthly balance,Account balance at the end of last month,Last month's average account balance,Last month's minimum balance,Last month's maximum balance
1000001,202101,8630284,8599159,5216582,13851346,9356416,8016925,5400719,12954605
1000001,202102,7395753,7207766,4688484,15371901,7374783,6713100,4225093,14884961
1000001,202103,7524640,7836793,5159695,15138513,7734860,8540930,5158506,14135587
1000001,202104,7100653,6983781,6183745,15969003,6394819,6997301,6098613,17267307
1000001,202105,5309589,5549722,4569191,10677306,5047532,5201097,4757324,10186919
1000001,202106,5676923,5695688,3042554,16322934,5425676,5682007,2971138,16142444
1000001,202107,5336358,5406554,2949788,8308937,4902504,5712793,3230947,8964913
1000001,202108,8030964,8065449,5607248,13015357,7677111,8592800,5798122,13152979
1000001,202109,6596523,6352043,3579588,18796146,6360528,6814432,3694076,20423327
1000001,202110,7461562,7368905,4762210,9295651,8161107,7471437,5161608,10088477
1000001,202111,9238702,8868365,5167706,20862518,9550235,9519207,5679520,20702298
1000001,202112,6306727,6384270,4757896,15106492,6213393,6397077,4470348,15355394
1000001,202201,7024230,6986913,6179904,14473631,7709871,7136516,6563717,13692964
1000001,202202,8561621,8799621,7694273,20710908,7967842,9254948,7174631,22742796
1000001,202203,6215446,6041705,4040639,8877110,6185675,5951605,4005924,8483528
1000001,202204,5539242,5353437,4096851,15066745,5702164,4896876,3769254,15920447
1000001,202205,6486934,6426172,5465287,8861468,5910350,6233600,5600138,8529994
1000001,202206,5914456,6166758,3235117,11010017,6171142,6319624,3214747,10598335
1000001,202207,9337275,9533751,7244098,11606134,8590045,8947105,7430559,10686610
1000001,202208,8795766,8724453,5836320,18786885,8162967,8110923,6044047,19011936
1000001,202209,8017572,8031420,4669902,19021826,7471879,7699048,4781449,18051075
1000001,202210,9077885,8700438,6001402,26219846,9856567,7886270,5754179,24376038
1000001,202211,8775953,9201214,4654626,21981469,9097566,9649171,4968309,20779815
1000001,202212,6027360,6127659,4690267,12826797,6214723,5831957,4738751,12188261
1000001,202301,9171858,8975033,5513176,26341322,9273653,8300538,5501985,26362834
1000001,202302,7598619,7663821,4745810,15265853,7283741,7969039,5208112,14917556
1000001,202303,8792736,8449364,4822222,19047622,9005326,9028868,4613427,17430441
1000001,202304,9187591,9615582,7771449,20512098,9022489,8692246,7815016,20659902
1000001,202305,6612769,6397711,4611597,12425138,6143812,6056840,4779758,13140198
1000001,202306,5686546,5770724,4144688,15314534,5902176,6284586,3834023,15541909
1000001,202307,6211602,6053488,4520636,9018216,5751424,5914565,4388850,9874117
1000001,202308,7098723,7253163,4714952,15292070,6659551,7889398,4999441,14066105
1000001,202309,8839836,9084541,5100691,21854224,9401517,8674305,4832148,23257931
1000001,202310,9030093,9186692,7206493,25442781,9319267,8668686,7196822,25471748
1000001,202311,5227336,5287188,2879334,14529092,5364282,4984875,2954559,14591843
1000001,202312,7471256,7764479,4046055,15440146,7349030,7120382,4184561,15499127
1000001,202401,7055533,6758231,5531947,16382995,6909173,7294067,5784547,15810634
1000001,202402,6185647,6081056,3609540,11437581,6421026,6664636,3873741,11036247
1000001,202403,5730255,5586017,3568281,11400558,6005313,6093795,3491819,11701178
1000001,202404,6700120,7027095,4623692,18907102,6713805,7521842,4814772,17185667
1000001,202405,9396122,9292191,6386924,26951249,10277984,9936860,6683500,27429827
1000001,202406,6635928,6790288,5198796,18589136,7240725,7009051,4991129,19424125
1000001,202407,7507082,7645756,5625602,10231436,7375602,8144586,6152336,9937438
1000001,202408,8327641,8087872,6310340,22610874,8861646,7616094,6771271,21332712
1000001,202409,6815989,6638090,5354789,19779257,6874971,6489280,5129739,18645458
1000001,202410,9524720,9316399,5877181,17014716,9547114,9578816,6082963,15591740
1000001,202411,9483143,9398863,5964264,19776411,8639075,10103347,6224068,18153635
1000001,202412,6317818,6149969,4265785,16301745,6411289,6347345,4207329,15215031
1000001,202501,7411132,7055139,4617023,16066952,8004879,7533508,4952905,14521866
1000001,202502,6536493,6784483,5843462,19528548,6902711,6749135,6065781,18615531
1000001,202503,6465060,6766079,5337687,12709373,6835271,7060137,5506523,12217270
1000001,202504,5360667,5275738,3033397,13168431,4996065,5782188,2864036,14472688
1000001,202505,7911391,7783627,3973398,20616477,7687418,7244203,3900162,22643850
1000001,202506,7435320,7068826,3844902,15159061,7038578,7672391,3794089,14210251
1000001,202507,5425659,5523456,3242511,14802658,5225902,5548161,3394040,13953080
1000001,202508,6437472,6646973,3513034,13761343,6539878,6837366,3596218,13739067
1000001,202509,9241817,8915218,6592513,17394361,8991888,9588974,6046469,16172526
